,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
19,1024,26.0723,765.3934,315.0109,793.8553,0.0000,659.0928,670.0159,678.7564,681.6645,590.1847,589.0235,666.2414,674.6810,625.8579,626.6883,674.7382,678.5297,0.0000,0.0000,668.6645,676.1024,599.9529,602.2850,664.3640,672.6402,3033.0000,0.0000,0.0000,
22,1024,12.7596,1100.1133,359.9624,732.7387,0.0000,825.8164,828.0332,845.8521,835.0562,764.2916,764.3706,831.6315,836.5763,820.5877,820.3471,839.1444,834.1673,0.0000,0.0000,831.2926,832.1951,767.2702,771.0640,840.5958,846.4713,5038.0000,0.0000,0.0000,
18,1024,32.7975,3312.7626,841.6301,757.8071,0.0000,1584.6101,1592.6795,1600.3054,1612.6239,1585.3776,1595.5873,1666.1911,1671.2728,1769.9862,1498.3376,1303.8217,1308.7204,0.0000,0.0000,1311.7090,1300.2921,1263.3335,1270.3522,1319.1379,1327.7512,14685.0000,0.0000,0.0000,
58,1024,14.9971,4081.7331,738.6386,974.5192,0.0000,1386.9292,1386.1073,1380.3629,1374.9635,1365.8213,1362.0192,1391.8806,1398.3332,1480.4994,1482.8262,1375.6266,1378.9465,0.0000,0.0000,1374.7912,1365.7156,1384.3162,1378.9549,1390.2618,1390.5184,19326.0000,0.0000,0.0000,
36,1024,51.4507,18839.4034,1250.4089,704.3702,0.0000,2796.3777,2785.7077,2835.8684,2798.8142,2826.1862,2851.3402,2899.8866,2885.3202,3290.1833,2883.0477,1832.7795,1831.4351,0.0000,0.0000,1823.3406,1860.9042,1910.7121,1943.5864,1861.6972,1866.4538,36920.0000,0.0000,0.0000,
57,1024,40.0063,10175.5710,1070.7628,961.4343,0.0000,2049.4241,2061.2841,2061.3250,2069.0926,2045.2226,2046.7751,2066.8607,2055.4704,2491.5448,2501.8824,2225.6869,2366.6579,0.0000,0.0000,2356.3685,2366.9035,2526.3016,2598.2103,2523.5515,2527.6782,40944.0000,0.0000,0.0000,
42,1024,94.8517,22060.4770,1209.1830,1031.1885,0.0000,2545.0473,2557.4380,2568.4738,2565.2927,2531.0276,2530.7173,2571.3270,2570.6679,3388.0585,3385.4741,2446.5090,2447.7728,0.0000,0.0000,2872.5622,2416.6844,2710.9077,2734.9282,2612.5932,2556.9061,52520.0000,0.0000,0.0000,
35,1024,121.5464,26835.6651,1461.7613,907.9138,0.0000,2988.8932,3003.8597,3029.0479,3023.2799,3010.8205,2996.1288,3230.9622,3225.0488,4560.6821,4405.6506,2987.5811,3067.5338,0.0000,0.0000,2994.5434,3012.0703,3561.8385,3446.2080,3283.5518,3274.1680,66151.0000,0.0000,0.0000,
17,1024,145.2651,26766.1401,5032.3195,1528.1470,0.0000,3396.0224,3399.6376,3399.8684,3429.2969,3295.5514,3042.2412,3117.9718,3552.0863,4731.3956,4860.0958,3248.5315,3270.7610,0.0000,0.0000,3326.8452,3344.7091,3989.0449,3835.4714,3542.7337,3474.4522,72324.0000,0.0000,0.0000,
5,1024,120.4561,28232.4230,5305.1460,1283.6380,0.0000,3556.3254,3565.3635,3588.1603,3604.6196,3020.8943,3015.7012,3307.6361,3593.8462,4906.3669,5394.9315,3278.7882,3337.4367,0.0000,0.0000,3350.6548,3216.7629,3592.0233,3665.7686,3291.5659,3289.5139,77761.0000,0.0000,0.0000,
39,1024,102.7081,31293.3558,8089.5431,1678.1430,0.0000,4497.4029,4275.6201,3648.8410,3623.5729,3352.3979,3293.0028,3401.7755,3517.8275,5037.1195,5099.8069,3595.2566,3244.9473,0.0000,0.0000,3229.4759,3216.6004,3627.3316,3719.2024,3196.2958,3132.7826,74617.0000,0.0000,0.0000,
25,1024,148.7365,39666.2346,7873.5149,1823.0715,0.0000,4112.8080,4147.0213,3812.6333,3486.9108,3519.4902,3524.5881,3620.2469,3711.6172,6199.8133,5910.7840,3571.0402,3575.5928,0.0000,0.0000,3518.3121,3465.7704,4395.5975,4187.8397,3615.4362,3623.4126,91958.0000,0.0000,0.0000,
1,1024,156.1751,36840.2042,6254.6229,742.7256,0.0000,4147.8610,4379.1148,4314.7875,3772.7741,3744.0604,3740.3255,3962.0073,4008.0116,6704.1326,6414.9427,3969.9455,3876.7863,0.0000,0.0000,3846.2734,3790.0992,4466.8268,4424.6149,3990.1351,3996.4855,93390.0000,0.0000,0.0000,
48,1024,172.4899,35699.0823,4805.2004,769.2289,0.0000,3744.2052,3829.6193,3668.7353,3653.2118,4006.3942,3874.0503,4093.2455,4046.0793,7130.0850,7199.8089,3925.6506,4005.2164,0.0000,0.0000,3979.8950,5491.0001,6252.2045,4734.6979,4167.2870,4174.3487,99420.0000,0.0000,0.0000,
24,1024,182.8331,41423.4501,6850.5053,1483.7366,0.0000,4263.3883,4264.8349,3953.4907,3958.6358,3961.6583,3933.0186,4166.7284,4224.7330,7143.7801,7069.1149,4018.7042,3966.6215,0.0000,0.0000,3904.9015,3874.8428,4839.9738,4987.1329,4395.8792,4365.1269,101031.0000,0.0000,0.0000,
15,1024,265.0563,39960.7464,4350.9153,1664.2480,0.0000,4185.3255,4208.6566,4284.5713,4369.0699,4329.2359,4441.0038,4713.2554,4839.7400,7619.5529,7590.2030,4192.5483,4074.5322,0.0000,0.0000,4024.9169,4009.0738,5006.6338,6829.9162,4796.7772,4424.0694,105085.0000,0.0000,0.0000,
45,1024,194.5317,42592.5046,4845.2850,760.5778,0.0000,4622.0617,4591.7475,4223.4730,4090.0492,4151.8127,4112.3628,4363.9968,4407.8994,8085.1967,8154.7888,4673.0943,4159.7167,0.0000,0.0000,4122.3480,5711.4853,6195.3921,5212.1019,4512.9281,4598.3236,114019.0000,0.0000,0.0000,
53,1024,195.5406,49471.7361,7213.8949,1248.2317,0.0000,4746.8570,4721.8477,4863.4070,4944.8561,5064.6502,4842.6634,4932.4125,4784.3821,8649.1824,8380.2288,4304.7826,4346.8118,0.0000,0.0000,4371.2015,4359.7660,5783.2910,6001.7181,5289.8044,5155.6570,116094.0000,0.0000,0.0000,
54,1024,311.9195,65303.7549,5589.4604,752.5034,0.0000,4512.8017,4596.3929,4487.4683,4411.8293,4414.2460,4431.3311,4636.7043,4545.7551,8866.1226,8938.0586,4273.1951,4224.5733,0.0000,0.0000,4264.8906,4260.7348,5802.1033,5883.2561,4730.8803,4969.5202,126372.0000,0.0000,0.0000,
72,1024,21.9019,4864.7664,920.3678,691.3088,0.0000,1521.3405,2300.3834,1728.8091,2171.7900,1440.9222,1443.6300,1452.6297,1489.6967,1733.2186,1727.7168,1577.0266,1606.6735,0.0000,0.0000,1630.5898,1572.8555,1605.0324,1725.4287,1649.8756,1498.6560,28164.0000,0.0000,0.0000,
12,1024,274.0420,65089.5100,5984.0890,1084.5400,0.0000,5038.7905,5119.2645,5084.5257,4989.1040,4840.5140,4806.7192,4954.4692,4920.9135,10379.4129,10462.0776,4830.2729,4829.0880,0.0000,0.0000,4855.6050,4787.4612,7231.6390,7006.7395,5358.0758,5442.8260,146467.0000,0.0000,0.0000,
63,1024,180.5611,29306.7966,4556.7635,697.7496,0.0000,3911.4859,3984.8010,4121.0164,4092.8935,3992.9350,3979.6262,4085.2360,3988.3480,6990.8826,7356.7552,3879.5083,3997.7567,0.0000,0.0000,4274.5873,4402.9538,5468.0400,5579.6566,4847.2963,4762.1597,103069.0000,0.0000,0.0000,
11,1024,279.6678,73885.1056,8079.7433,1438.1486,0.0000,5154.1503,5198.8712,5044.4384,5001.9439,4868.0155,4877.4329,5127.1350,5121.4136,11088.0088,11240.2497,5026.8115,5051.8800,0.0000,0.0000,4943.2671,4893.4347,7832.9204,7798.1441,6555.2326,5714.4465,152117.0000,0.0000,0.0000,
43,1024,449.3684,85608.6417,6398.0710,785.8064,0.0000,5349.0694,5308.0775,5155.9502,5644.5562,5235.8120,5285.9666,6678.5975,5654.9407,13527.2909,12257.4300,5709.0123,5529.1730,0.0000,0.0000,5628.0553,5482.9336,8267.5170,8422.4628,6838.4432,6656.7245,162435.0000,0.0000,0.0000,
55,1024,319.8814,84967.7178,7178.0898,751.8977,0.0000,5788.5908,5681.5584,5578.9951,5629.3359,5501.7708,5552.2066,5973.4207,6175.2549,14227.7120,13367.6559,5560.7972,5607.0638,0.0000,0.0000,5457.9513,5449.2128,8997.0912,9237.2665,6799.6241,7487.6354,174179.0000,0.0000,0.0000,
7,1024,320.4562,83361.0347,7585.4653,979.0752,0.0000,5953.6428,5789.0685,5686.2717,5693.7793,5743.9653,6429.8895,6581.8712,7292.1849,14386.0983,14497.1262,7281.3007,6224.6216,0.0000,0.0000,6131.1497,6133.8524,9655.5877,9623.4675,8088.4304,7379.7501,172677.0000,0.0000,0.0000,
37,1024,486.3167,85460.6637,8310.7529,1066.3766,0.0000,6183.3145,6092.2337,6116.1904,6013.4134,6046.6587,6045.0066,6859.9804,6908.0930,14493.8964,14841.9362,6343.5139,6265.7218,0.0000,0.0000,6139.0237,6168.0200,10533.7917,10192.5912,7916.2167,7365.7994,180083.0000,0.0000,0.0000,
68,1024,140.7371,21325.9439,5883.8719,665.3645,0.0000,4186.7710,4423.5062,3875.3400,4016.6808,4366.1715,4185.7125,4512.6079,4557.4396,7288.8163,7422.3206,4681.0581,4763.9932,0.0000,0.0000,4626.0208,4811.7017,6077.7643,5458.1623,4138.0428,4323.9606,99395.0000,0.0000,0.0000,
51,1024,576.3846,89827.2284,8087.6269,1171.0124,0.0000,6722.9954,6163.1452,6269.0392,6271.8305,6273.4827,6275.7427,6986.9450,8695.5903,17187.2701,20111.5318,6418.5384,6655.5638,0.0000,0.0000,6589.4875,6635.7874,10823.2086,10429.9968,8097.5354,8404.9239,196916.0000,0.0000,0.0000,
8,1024,437.7723,88883.7076,9750.0499,1185.4700,0.0000,6810.0733,6758.9625,6757.1178,6855.3740,6955.7605,7145.3110,8129.4145,7716.3233,18541.3516,18433.6730,6506.1292,6578.8624,0.0000,0.0000,6668.1767,6704.6618,11592.3434,11112.3511,8427.9161,8400.3651,202965.0000,0.0000,0.0000,
84,1024,19.5762,2615.5125,695.2755,704.1341,0.0000,1275.1662,1414.5017,1358.4765,1365.1116,1282.2714,1329.7462,1254.3794,1198.6515,1273.9542,1398.9131,1383.1114,1371.6966,0.0000,0.0000,1251.2527,1187.3653,1200.0743,1205.0589,1199.3401,1446.2007,17826.0000,0.0000,0.0000,
52,1024,629.1121,95735.0901,7954.7965,677.1100,0.0000,6354.0032,6369.2256,6334.7723,6396.2884,6501.9005,6556.1859,7205.0144,6992.4618,18219.6168,18178.9870,6501.2545,6627.3952,0.0000,0.0000,7138.8146,9213.6299,11940.4084,12183.2502,9456.3198,9397.5697,202473.0000,0.0000,0.0000,
33,1024,634.5196,95569.1561,7446.5098,666.2951,0.0000,6361.9865,6392.4096,6388.5855,6453.0321,6506.9635,6459.4087,7187.4254,7221.5252,20590.7258,20003.3814,6544.8090,6641.3580,0.0000,0.0000,6641.5043,6850.8336,13024.9826,12391.7639,9110.0359,8874.4393,218289.0000,0.0000,0.0000,
74,1024,142.3814,23496.2896,5434.9087,731.5472,0.0000,4379.3089,4412.5469,4401.0299,4507.0288,4655.5651,4537.8378,4781.4575,4902.6203,8251.1290,7814.2704,4327.9642,4225.5337,0.0000,0.0000,4175.8302,4079.3278,5483.6113,5306.2067,4487.3270,4610.7111,110264.0000,0.0000,0.0000,
4,1024,443.1506,89714.5407,8228.1044,818.1406,0.0000,6520.5057,6437.9489,7321.2409,7195.4421,9213.2841,8268.7483,9467.0251,9181.5614,21929.3500,21941.3564,8222.6286,8354.4540,0.0000,0.0000,7729.4010,6850.3213,12211.6169,11669.8999,8468.2303,9226.6913,210482.0000,0.0000,0.0000,
49,1024,840.1638,88687.0140,10329.5412,747.7906,0.0000,7585.0338,7566.5226,7556.5529,7676.3346,7791.8303,7888.2258,9117.2040,8820.9572,24635.8651,24639.6570,7955.6754,8105.8077,0.0000,0.0000,7646.4937,7717.6892,15146.0508,15020.5619,10647.7559,10576.4173,251307.0000,0.0000,0.0000,
47,1024,869.8289,87817.5638,10436.1211,702.3699,0.0000,7675.1316,7593.8210,7565.9109,7791.8355,7817.4612,7739.2353,9070.3328,9167.5595,25289.9772,25401.8051,8305.3573,7887.3816,0.0000,0.0000,7879.4586,7947.4473,15007.3817,14915.9478,10311.4487,10466.4064,252502.0000,0.0000,0.0000,
78,1024,180.5787,22715.4658,8000.4798,749.0075,0.0000,4919.5648,4330.3985,4212.5239,4344.2510,4268.8566,4192.5010,4894.0702,4910.0808,7560.5257,7751.6867,4250.6463,4161.3105,0.0000,0.0000,4091.1333,4099.4984,5396.6106,5604.5509,4543.0091,4541.2224,107473.0000,0.0000,0.0000,
9,1024,667.6060,77805.6715,12156.5740,713.4561,0.0000,8516.6268,8168.7288,8141.0691,8148.5522,8178.7135,8366.3082,10203.7927,9988.1424,27945.2924,28058.5440,8604.1225,8387.6004,0.0000,0.0000,8304.4195,8855.9268,17915.5966,18060.3225,11728.7452,11806.0906,277991.0000,0.0000,0.0000,
