,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
15,512,2.3738,153.7059,63.3531,81.6331,0.0000,126.0297,133.0024,135.7976,136.3418,112.9430,113.7408,135.1118,136.4325,127.7345,126.9409,136.0893,135.8392,0.0000,0.0000,132.0998,134.3409,123.4651,123.7865,131.4986,134.2190,1368.0000,0.0000,0.0000,
4,512,1.6345,303.2111,88.1685,83.9162,0.0000,177.0129,179.7487,181.7959,180.9925,163.2989,162.0290,178.7381,179.1226,182.9973,185.3343,178.6974,178.1232,0.0000,0.0000,178.1841,179.8014,172.3816,173.1147,179.0719,183.3848,3286.0000,0.0000,0.0000,
45,512,3.9601,373.7386,96.6804,85.7336,0.0000,230.3328,233.6454,240.9228,238.4396,224.2262,220.9363,239.5342,240.6778,249.3236,250.0475,238.2170,237.7193,0.0000,0.0000,236.5624,237.7404,227.4909,227.7792,240.2104,240.6970,4374.0000,0.0000,0.0000,
16,512,4.7802,830.7322,212.2447,85.5679,0.0000,331.2294,332.7613,329.9110,332.6115,320.4396,330.2104,333.8910,344.6706,419.0939,407.9638,333.2350,333.4209,0.0000,0.0000,328.4979,331.0234,342.0866,343.8545,343.2329,344.2437,9551.0000,0.0000,0.0000,
25,512,5.6722,958.8954,233.0950,85.7446,0.0000,368.1632,368.7905,376.6962,369.7156,367.3530,357.7642,388.3563,393.3749,469.6875,466.1358,370.3731,374.1364,0.0000,0.0000,371.9488,371.4884,381.8685,388.4255,386.1727,387.2478,10918.0000,0.0000,0.0000,
44,512,7.1279,911.1886,222.6320,86.1838,0.0000,415.9720,413.2352,418.8672,409.7955,397.3543,400.2451,410.6748,410.9744,505.9168,510.4983,415.2464,418.5716,0.0000,0.0000,415.7509,419.7029,428.9343,428.6299,426.0806,429.7903,10425.0000,0.0000,0.0000,
55,512,8.7497,1303.2390,283.8997,85.7594,0.0000,518.0049,517.6395,518.9393,524.1785,501.6161,498.7660,529.1892,536.5311,691.4547,690.8307,529.3375,526.8361,0.0000,0.0000,520.8782,541.9826,572.8261,566.3929,543.1517,527.9825,13463.0000,0.0000,0.0000,
14,512,9.9903,1452.5891,271.3055,86.4476,0.0000,606.1841,614.1706,611.2177,643.3384,604.5288,603.1376,620.2366,625.0858,805.2613,798.2164,619.2788,628.2123,0.0000,0.0000,612.5882,605.1214,633.9509,644.7454,645.6604,655.9850,13415.0000,0.0000,0.0000,
62,512,4.8953,893.6478,209.3284,86.7357,0.0000,329.7083,332.5581,333.3047,328.9060,319.3231,323.0738,329.4761,330.3092,411.2407,406.8583,330.0202,335.8989,0.0000,0.0000,337.4880,338.8257,353.1176,350.2698,350.1914,349.3168,9722.0000,0.0000,0.0000,
40,512,12.1968,1856.0542,301.8039,85.9506,0.0000,808.9275,816.7591,797.1284,821.9083,819.4113,824.3470,829.7934,829.8312,1126.6629,1094.1605,796.7297,780.4447,0.0000,0.0000,761.4892,781.5045,845.4159,857.7936,844.9878,855.2134,15158.0000,0.0000,0.0000,
