,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
53,128,0.7895,36.6883,6.5424,1.8655,0.0000,13.8155,14.0677,14.0731,14.0181,13.0680,12.9080,14.3956,14.5481,24.9806,24.9723,14.3193,14.1823,0.0000,0.0000,13.9849,14.0975,15.9015,16.2076,15.7011,140.6213,2597.0000,0.0000,0.0000,
61,128,0.2704,17.2174,4.3169,1.8230,0.0000,8.6856,8.6740,8.6680,8.5301,7.2673,7.1315,8.6878,8.8161,10.0344,9.8752,8.8532,8.8241,0.0000,0.0000,8.5330,8.6287,8.9400,8.9963,9.1045,133.8712,965.0000,0.0000,0.0000,
14,128,1.0967,40.0993,6.8927,1.7998,0.0000,14.3904,14.5892,14.6318,14.6558,13.7868,13.6062,14.9893,15.1944,28.3839,28.5738,14.9102,14.7988,0.0000,0.0000,14.4527,14.6401,16.9988,17.1100,141.2735,15.4271,2867.0000,0.0000,0.0000,
62,128,0.3533,18.7929,4.7104,1.8330,0.0000,9.0333,9.3408,9.4003,9.4139,8.3946,8.2689,9.3794,9.5997,11.3752,11.4614,9.6274,9.5225,0.0000,0.0000,9.3834,9.4821,9.6071,134.6277,9.3723,9.5635,1175.0000,0.0000,0.0000,
41,128,1.1466,43.1692,7.2393,1.8042,0.0000,15.7074,15.5205,15.7763,15.8428,14.6169,14.8747,16.3633,16.2435,33.4710,33.4258,16.1232,15.9818,0.0000,0.0000,15.7130,15.7056,18.5141,142.2447,16.4634,16.4335,3157.0000,0.0000,0.0000,
68,128,0.1756,10.8740,3.4993,1.7441,0.0000,6.3817,6.4916,6.4769,6.4478,5.1849,5.1292,6.4644,6.5337,6.8058,131.5717,6.3775,6.3460,0.0000,0.0000,6.0938,6.3357,6.3930,6.4592,6.3712,6.4912,532.0000,0.0000,0.0000,
38,128,1.1535,47.1154,7.2641,1.8039,0.0000,15.9666,15.8466,15.9599,15.8618,15.2560,15.0830,16.7657,16.5276,35.5560,35.4615,16.1913,16.1783,0.0000,0.0000,15.9555,16.0323,143.1308,17.6300,17.1031,17.0592,3298.0000,0.0000,0.0000,
51,128,1.1114,45.3006,7.3076,1.7930,0.0000,15.9497,16.1000,16.0932,16.2077,15.3448,15.3377,16.9396,16.8962,36.4986,36.0253,16.4281,16.3787,0.0000,0.0000,16.2116,16.2035,143.3317,18.2521,17.7039,17.6558,3350.0000,0.0000,0.0000,
52,128,1.1915,46.4064,7.5293,1.7651,0.0000,16.0520,16.0365,15.9095,16.0920,15.1852,15.2416,16.8541,16.6749,37.1060,37.2166,16.4432,16.3458,0.0000,0.0000,16.1218,16.0034,143.0249,17.8224,17.3984,17.5316,3409.0000,0.0000,0.0000,
10,128,1.2594,47.8932,7.4380,1.7751,0.0000,16.2063,16.3892,16.4756,16.2501,15.2334,15.4214,17.0088,16.9877,37.5578,37.6798,16.7483,16.6807,0.0000,0.0000,16.4168,16.4743,142.9876,17.9280,17.5001,17.5674,3409.0000,0.0000,0.0000,
50,128,1.1961,46.5755,7.5303,1.8213,0.0000,16.1848,16.3053,16.1297,16.3196,15.3661,15.2128,16.9457,17.1360,37.6019,37.5365,16.6623,16.5666,0.0000,0.0000,16.4555,141.1308,18.1013,18.3090,17.6072,17.7014,3423.0000,0.0000,0.0000,
54,128,1.2155,47.8298,7.7382,1.7713,0.0000,16.0684,16.3315,16.4993,16.5825,15.5379,15.6226,17.0170,17.2014,38.7846,39.1060,16.8191,16.8705,0.0000,0.0000,16.6720,140.8882,18.0022,18.3140,17.7268,17.8409,3535.0000,0.0000,0.0000,
56,128,1.2446,49.0636,7.7920,1.7957,0.0000,16.6136,16.9911,16.5889,16.6510,15.7483,15.7826,17.5410,17.6794,39.7850,39.7441,16.9235,17.0506,0.0000,0.0000,16.6264,140.7881,18.6149,18.7080,18.1409,18.2174,3565.0000,0.0000,0.0000,
17,128,1.3534,49.2732,7.7553,1.8022,0.0000,16.8525,16.7469,16.9025,16.9067,15.8549,15.8705,17.7526,17.5758,40.9829,40.9670,17.1999,17.0160,0.0000,0.0000,16.9474,140.7940,18.9617,18.9950,18.4237,18.4601,3664.0000,0.0000,0.0000,
37,128,1.3055,49.1226,7.9370,1.7405,0.0000,16.8814,16.9406,16.8218,16.9449,16.1374,16.1852,17.7365,17.8447,40.9266,40.8646,17.2586,17.3221,0.0000,0.0000,141.9483,15.7158,18.9806,19.0278,18.2601,18.3417,3673.0000,0.0000,0.0000,
79,128,0.1251,4.4530,2.3792,1.4404,0.0000,3.8005,3.9234,3.9125,3.8100,2.8008,2.8918,3.7849,3.9402,4.0047,3.9316,4.0525,4.2692,0.0000,0.0000,3.7964,3.9328,3.8245,3.8902,3.7166,3.9972,227.0000,0.0000,0.0000,
31,128,1.4491,50.6405,8.2664,1.7588,0.0000,17.3362,17.2771,17.3111,17.2655,16.4373,16.4868,18.2442,18.2612,43.2396,43.2785,17.6581,17.4703,0.0000,0.0000,141.3386,16.1661,19.5245,19.5747,18.9557,19.1306,3827.0000,0.0000,0.0000,
