,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
46,256,0.5566,13.0576,10.5907,8.8963,0.0000,9.0198,12.9912,12.9432,12.9590,7.5297,7.6459,11.5109,13.1209,12.8265,12.9165,16.6923,17.1945,0.0000,0.0000,11.9688,13.0153,12.8249,13.0103,11.0694,13.0807,285.0000,0.0000,0.0000,
43,256,0.7884,17.0950,10.3170,9.3867,0.0000,13.8238,15.4123,15.4004,15.3954,10.2430,10.1803,14.4993,15.5271,15.5352,15.5147,19.3276,20.4999,0.0000,0.0000,15.3705,15.4242,14.9281,14.9255,14.2462,15.8316,362.0000,0.0000,0.0000,
54,256,0.5120,53.6423,17.5221,11.6285,0.0000,30.5474,30.4881,30.5280,30.1910,25.2251,25.2650,30.2994,30.9681,31.9800,32.2583,30.9373,30.8654,0.0000,0.0000,29.7257,30.5108,30.7374,30.7557,31.2423,31.2449,1239.0000,0.0000,0.0000,
9,256,0.9333,65.2393,19.1785,11.8514,0.0000,35.9077,35.7459,36.0344,35.8325,33.1476,31.9569,36.1287,35.7685,39.0573,39.4272,36.4231,36.1848,0.0000,0.0000,35.4158,35.9423,36.3831,36.7785,37.1411,37.1065,1665.0000,0.0000,0.0000,
29,256,0.7620,77.4122,19.9959,11.8614,0.0000,39.1192,39.0167,39.4304,38.5359,34.8447,35.3663,39.6090,39.4463,43.6888,44.2520,39.1909,39.5950,0.0000,0.0000,38.8582,39.3716,39.7547,46.1649,40.9688,48.1282,1999.0000,0.0000,0.0000,
7,256,1.0994,82.0483,21.0671,11.8050,0.0000,39.8500,40.2717,40.3485,40.0999,36.2636,36.6325,40.2702,40.5584,45.7373,45.7337,40.6802,40.5641,0.0000,0.0000,39.8663,40.4863,41.1908,42.2599,48.9329,45.3346,2165.0000,0.0000,0.0000,
37,256,1.1951,84.9433,21.0039,12.0178,0.0000,39.5512,40.2342,40.3331,40.7575,35.5436,35.8275,40.1817,40.9950,46.0346,46.3039,40.5953,40.8341,0.0000,0.0000,40.5547,40.4425,41.1978,42.0171,45.7480,46.2753,2179.0000,0.0000,0.0000,
1,256,1.1124,93.6118,22.4421,11.8622,0.0000,43.4315,43.5791,43.6969,43.3623,40.6520,39.6753,44.3247,44.3566,51.9519,51.9901,44.2457,44.3304,0.0000,0.0000,43.7890,44.4240,45.8996,46.9859,46.4119,46.7804,2577.0000,0.0000,0.0000,
58,256,0.5593,53.5960,17.4447,11.3015,0.0000,30.5846,31.3202,31.2671,31.0019,26.5157,27.1418,30.7791,31.2384,33.1301,32.7967,31.3362,31.9936,0.0000,0.0000,31.3310,31.8567,34.5440,31.4026,31.3195,31.8271,1275.0000,0.0000,0.0000,
45,256,1.6128,124.9330,25.8333,11.9847,0.0000,53.7212,53.7803,54.2378,53.7498,49.5559,50.1498,54.2328,54.5122,70.6058,70.8668,54.5709,58.7301,0.0000,0.0000,58.9042,54.5222,57.7478,58.6098,58.4339,58.5189,3580.0000,0.0000,0.0000,
35,256,1.8954,154.5139,29.3291,11.9430,0.0000,59.3839,59.9371,60.0478,60.2457,56.8808,57.5723,60.8536,61.2669,87.4853,103.8138,61.2116,61.3048,0.0000,0.0000,60.3280,60.8041,65.3828,66.0468,64.8074,64.5410,4734.0000,0.0000,0.0000,
22,256,2.1585,150.3147,28.7670,12.0880,0.0000,60.0957,61.0672,61.0205,60.9674,58.2336,58.2758,61.9175,63.0470,98.9225,94.9285,69.3764,62.9254,0.0000,0.0000,62.2474,62.3398,67.0003,68.3843,66.3558,66.0400,4648.0000,0.0000,0.0000,
30,256,2.3169,155.7708,29.3215,12.1516,0.0000,61.3547,61.9758,61.9369,62.5450,58.1701,58.4814,62.4321,63.7802,98.3707,98.1392,63.1126,63.6585,0.0000,0.0000,63.2621,63.7196,68.1322,69.6738,68.0004,68.0670,4670.0000,0.0000,0.0000,
21,256,2.7721,175.4915,33.4866,12.2143,0.0000,64.6503,65.7694,65.3823,65.2296,61.9277,62.0729,66.4973,70.3646,121.3551,104.8545,66.4871,67.4110,0.0000,0.0000,65.7640,66.4084,73.1612,74.4899,70.7680,71.0505,5347.0000,0.0000,0.0000,
51,256,1.9310,172.2761,33.2376,12.2018,0.0000,65.1646,66.5622,65.2124,64.9842,61.7582,61.7916,66.8997,67.5077,144.9164,103.9833,66.2508,67.0279,0.0000,0.0000,65.8970,66.2100,73.3652,73.6759,70.6417,71.1609,5331.0000,0.0000,0.0000,
2,256,2.4378,196.7922,38.8698,12.0370,0.0000,69.8156,69.8645,69.6835,69.7899,66.5328,67.4646,72.5562,81.1404,129.9580,122.6378,70.9994,71.8604,0.0000,0.0000,70.8960,70.9186,79.1604,79.7473,75.8115,75.6012,6031.0000,0.0000,0.0000,
56,256,2.1625,197.1883,40.3110,11.8959,0.0000,70.6264,70.5277,70.4099,70.0096,68.1311,68.7366,72.7548,75.2528,129.2238,122.8644,72.8759,73.2253,0.0000,0.0000,72.9640,72.5019,80.5187,80.9681,76.9450,76.6771,6077.0000,0.0000,0.0000,
39,256,2.5490,193.8988,39.9412,11.6388,0.0000,71.9082,72.8708,72.8993,72.7374,69.5801,70.0966,74.1651,80.9932,129.8444,127.8431,74.7999,75.8180,0.0000,0.0000,74.8310,74.7226,82.8490,83.4183,78.3872,78.6597,6121.0000,0.0000,0.0000,
12,256,3.0318,209.8664,41.7624,11.9297,0.0000,73.9321,73.9953,74.1574,74.1177,70.8744,71.3162,76.6518,78.3275,133.9112,133.9890,75.3983,75.8259,0.0000,0.0000,74.9471,74.5653,83.7273,84.8379,79.6293,79.7889,6520.0000,0.0000,0.0000,
26,256,3.0448,215.3425,44.0026,11.8403,0.0000,74.9078,75.1713,75.5021,75.2074,73.5145,73.5646,78.1149,85.5316,138.4290,138.5427,77.2357,77.3512,0.0000,0.0000,76.0250,75.5823,86.1779,86.0069,80.5669,81.6963,6657.0000,0.0000,0.0000,
67,256,0.4548,39.1097,14.4011,11.3478,0.0000,25.3379,25.6874,25.7537,25.4618,22.3353,22.5803,25.8860,25.9421,26.6320,26.3829,25.9324,26.4220,0.0000,0.0000,25.6889,26.1708,25.7367,26.1973,26.0110,26.6285,892.0000,0.0000,0.0000,
52,256,1.9746,316.3233,57.6871,24.0813,0.0000,114.7342,122.5979,93.5732,74.4044,71.5698,71.4639,75.5492,77.2270,126.9683,128.1853,75.9602,76.7130,0.0000,0.0000,77.1745,77.2104,86.6238,86.5119,80.1760,81.0577,5957.0000,0.0000,0.0000,
8,256,4.1800,253.0602,56.2521,11.9808,0.0000,85.6365,86.3492,86.1168,86.2244,84.1104,85.7829,90.0127,90.2055,177.7583,179.3708,88.4423,88.7987,0.0000,0.0000,87.8499,87.3369,102.8493,104.0415,94.8210,94.8822,7817.0000,0.0000,0.0000,
60,256,2.4995,174.0887,32.7970,12.0429,0.0000,64.3660,65.2586,64.7600,65.0189,61.5252,62.0644,66.0148,66.4605,99.8433,100.0262,66.1826,66.5818,0.0000,0.0000,65.4958,66.3166,72.1840,71.8318,70.7373,71.8111,5153.0000,0.0000,0.0000,
68,256,0.8668,86.0902,21.2514,11.8495,0.0000,40.7096,41.0327,40.7854,40.3744,36.7863,36.3950,41.5651,41.7060,47.5920,47.6833,42.2408,42.2898,0.0000,0.0000,41.5276,41.5858,42.7408,43.0670,43.2334,43.7535,2301.0000,0.0000,0.0000,
18,256,4.5884,330.5403,71.0762,11.6270,0.0000,100.0543,100.0990,100.6583,108.1610,99.3211,99.4119,106.0446,106.1364,230.7610,230.4334,103.1444,104.5595,0.0000,0.0000,103.8998,103.2731,125.8549,125.3662,113.6673,114.3431,9558.0000,0.0000,0.0000,
63,256,2.1581,191.1740,38.9233,11.9503,0.0000,74.4584,75.2193,75.1108,74.3451,71.5605,72.0204,77.0212,76.7124,126.3720,128.4005,77.5303,78.1176,0.0000,0.0000,76.4963,76.8879,84.7821,85.8631,79.3620,78.6491,5966.0000,0.0000,0.0000,
53,256,5.0898,407.8023,80.6496,11.7026,0.0000,119.5273,119.5222,142.7082,165.3519,108.5814,108.8486,116.5982,116.3819,283.0330,293.6844,115.2135,114.1879,0.0000,0.0000,113.1254,114.9626,144.5395,141.7972,126.3553,125.9423,11015.0000,0.0000,0.0000,
64,256,3.2675,287.4914,58.1634,11.7874,0.0000,89.4649,90.3516,90.8456,90.7202,88.0401,89.5694,94.9606,95.1653,197.8382,194.4160,93.5062,93.0189,0.0000,0.0000,91.4063,92.2330,108.1230,107.8832,98.8458,98.6201,8432.0000,0.0000,0.0000,
25,256,5.8542,394.3073,80.5960,11.7860,0.0000,115.9227,115.8914,127.8218,117.6656,117.2766,115.4422,125.8839,126.5114,335.6669,338.4941,139.8956,139.8281,0.0000,0.0000,132.7593,126.0412,156.5745,155.9779,133.5850,132.4061,10986.0000,0.0000,0.0000,
82,256,0.7420,82.3576,20.8396,12.3189,0.0000,40.5760,40.7914,40.7363,40.7453,35.6901,36.0050,40.0611,40.8572,45.8878,45.6086,40.4390,40.9528,0.0000,0.0000,40.4107,40.6984,41.4021,41.7686,42.3296,42.2820,2117.0000,0.0000,0.0000,
28,256,6.3021,449.9286,91.7388,11.5059,0.0000,122.6679,125.8940,126.2642,125.7959,120.1688,124.1219,130.9767,132.9516,380.1268,387.9159,130.4315,131.2685,0.0000,0.0000,126.9364,127.4590,164.0668,163.0462,145.6831,145.0248,12638.0000,0.0000,0.0000,
87,256,0.4764,47.5285,16.1027,11.7666,0.0000,28.1249,29.2140,28.8244,28.5611,23.7004,24.0166,28.3061,28.5334,29.5994,29.7249,29.0001,29.1548,0.0000,0.0000,28.6853,28.6825,28.5158,29.1109,29.1033,30.1876,1043.0000,0.0000,0.0000,
69,256,4.1132,369.7713,71.6914,11.8468,0.0000,107.8426,108.4167,109.2161,112.2859,107.2899,105.3813,110.7247,109.3680,260.8420,257.4290,105.4645,105.3376,0.0000,0.0000,103.8614,103.6120,128.5315,128.6380,114.6172,114.9202,9938.0000,0.0000,0.0000,
57,256,7.2713,611.0396,105.4816,11.3813,0.0000,148.1837,150.2165,147.1745,150.8690,144.5231,149.5025,166.7492,170.5780,516.8221,511.4192,145.6437,147.6812,0.0000,0.0000,149.4423,147.1430,193.4911,197.4089,183.9212,196.3056,14361.0000,0.0000,0.0000,
86,256,1.9147,169.4260,32.0364,11.9336,0.0000,67.8634,68.0712,68.3164,69.0915,66.4307,65.7579,70.2488,69.7457,104.0795,105.0464,69.0947,69.0774,0.0000,0.0000,68.1352,68.1212,74.6875,75.6300,71.9431,72.3873,5195.0000,0.0000,0.0000,
85,256,2.1612,192.4958,37.8963,11.9973,0.0000,69.8770,70.2044,69.5345,69.6107,67.0808,67.4157,71.6845,71.9536,116.7266,116.9986,71.5142,71.7028,0.0000,0.0000,70.6555,71.6680,79.5617,79.0824,74.3882,74.9955,5816.0000,0.0000,0.0000,
10,256,8.9356,694.8407,109.7809,11.3531,0.0000,160.4806,161.1636,163.7330,157.0562,162.6490,158.7035,189.0860,196.4712,591.1148,580.5222,160.6521,167.8394,0.0000,0.0000,160.6053,166.1485,240.0257,238.9658,234.4998,203.5101,15238.0000,0.0000,0.0000,
75,256,5.3046,447.9778,84.4532,11.5657,0.0000,119.9297,122.2092,119.5277,119.0657,116.4501,114.8303,124.9774,124.2907,331.5816,333.5370,120.7763,121.3684,0.0000,0.0000,120.3089,121.3868,158.2945,155.2000,136.4886,137.7572,11873.0000,0.0000,0.0000,
42,256,8.9660,721.2075,110.2291,11.2935,0.0000,168.4623,169.8206,173.3678,169.6844,168.1583,180.5738,207.3492,208.3082,643.2916,629.5711,175.1886,178.8019,0.0000,0.0000,192.0923,198.1254,261.4399,246.1527,229.3981,217.2479,15575.0000,0.0000,0.0000,
50,256,9.0957,769.9745,111.0839,11.3951,0.0000,170.0093,172.4420,170.3773,172.6723,165.9694,187.7296,207.9635,199.0330,667.3544,661.0690,174.1782,183.8157,0.0000,0.0000,197.6891,199.3111,285.5075,261.0426,226.6067,213.6144,15822.0000,0.0000,0.0000,
41,256,8.5712,719.0847,101.8766,11.3039,0.0000,167.1462,226.0481,207.3332,272.5337,256.0754,224.0988,285.9007,233.4012,651.9465,652.8042,168.1477,164.4649,0.0000,0.0000,161.1471,160.0378,225.7695,233.7239,197.3615,197.6358,15496.0000,0.0000,0.0000,
71,256,5.7069,471.6356,86.9724,11.6790,0.0000,140.0274,181.9764,249.2035,252.0901,246.2449,245.4600,184.5782,218.8560,432.4894,380.0670,131.6321,132.7170,0.0000,0.0000,132.9380,130.9386,168.4001,167.9925,188.2793,105.7623,12198.0000,0.0000,0.0000,
59,256,8.9762,715.5418,104.5266,11.4923,0.0000,164.1425,165.2331,195.5506,192.0274,184.3717,204.0917,192.2697,190.2174,630.9211,658.7799,206.6085,230.8865,0.0000,0.0000,193.1612,203.2567,230.3877,233.2483,197.2979,123.8461,14845.0000,0.0000,0.0000,
