,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
2,256,1.0207,17.3643,7.7328,8.8516,0.0000,12.3584,15.1938,15.0627,15.1922,9.8631,9.9504,14.1470,15.2536,15.3351,15.2558,15.7940,16.3590,0.0000,0.0000,14.8219,15.2106,15.1138,15.2361,14.4603,15.2562,326.0000,0.0000,0.0000,
32,256,9.7529,17.1334,7.5451,8.8222,0.0000,12.5827,14.6655,14.6353,14.6713,9.3577,9.4623,13.1166,14.7445,14.8198,14.7544,15.5894,16.2857,0.0000,0.0000,14.6467,14.6719,14.6090,14.6853,13.4680,14.7332,316.0000,0.0000,0.0000,
23,256,9.8368,20.0307,7.3416,8.7401,0.0000,11.6084,14.9618,14.9753,15.0066,9.5416,9.4327,12.8986,15.0233,15.2333,15.0917,15.0035,15.5347,0.0000,0.0000,14.4825,14.9711,14.3175,15.0000,13.4838,15.0356,327.0000,0.0000,0.0000,
35,256,9.2092,19.6865,7.5100,8.7467,0.0000,12.2212,15.0592,15.0571,15.0906,9.7970,9.8548,13.7502,15.1237,14.3039,15.1619,14.9266,15.5167,0.0000,0.0000,14.5146,15.0458,14.3511,15.1270,13.7686,15.1361,318.0000,0.0000,0.0000,
7,256,9.3035,17.6703,7.8079,8.8047,0.0000,12.9060,15.1442,15.1294,15.1977,9.7249,9.7937,13.9940,15.2082,14.8913,15.2381,15.2868,15.9078,0.0000,0.0000,14.8806,15.1647,14.8584,15.1652,14.1864,15.2306,328.0000,0.0000,0.0000,
6,256,9.9251,19.7427,7.9525,8.8383,0.0000,12.2455,15.1405,15.1064,15.1917,9.7483,9.8286,13.0524,15.1611,14.0694,15.2399,15.6240,15.9716,0.0000,0.0000,14.9210,15.1456,14.2661,15.1788,13.6079,15.2056,327.0000,0.0000,0.0000,
44,256,8.5096,20.8953,7.9716,8.7856,0.0000,12.3056,15.1603,15.1296,15.1598,9.7942,9.9609,14.2941,15.1940,15.2889,15.2687,15.2741,15.9119,0.0000,0.0000,14.9280,15.1523,14.5137,15.2199,13.4254,15.2027,324.0000,0.0000,0.0000,
55,256,9.7369,19.7586,7.9617,8.8136,0.0000,13.2475,15.0594,15.0337,15.0073,10.2275,10.1027,13.2749,15.0877,14.5033,15.1362,15.1059,15.8235,0.0000,0.0000,14.4271,15.0534,14.5451,15.0809,13.8229,15.3734,325.0000,0.0000,0.0000,
8,256,9.5975,20.9459,8.2306,8.8037,0.0000,13.5013,14.9686,14.9161,14.9794,9.8980,9.8516,13.7292,15.0231,15.0812,15.0622,15.7696,15.9103,0.0000,0.0000,14.7229,14.9572,14.8533,14.9932,14.6442,14.9753,324.0000,0.0000,0.0000,
43,256,11.0091,21.4918,7.4153,8.7309,0.0000,12.4206,15.2762,15.2765,15.3289,9.5865,9.7922,13.5738,15.3149,14.5041,15.3301,15.4358,15.8969,0.0000,0.0000,15.0709,15.2888,14.4182,15.3384,13.6290,15.3201,327.0000,0.0000,0.0000,
34,256,8.9958,16.9511,7.8955,8.8433,0.0000,12.2937,15.3080,15.2680,15.3143,9.7103,9.8147,13.3615,15.3333,14.8083,15.2561,18.9332,19.3949,0.0000,0.0000,14.5809,15.3057,15.2035,15.3569,14.3936,15.3606,321.0000,0.0000,0.0000,
40,256,10.1877,19.2890,7.8482,8.8228,0.0000,12.5439,15.3360,15.3003,15.3471,9.9633,10.0432,13.9207,15.4159,15.4669,15.4420,15.7349,16.1572,0.0000,0.0000,15.1090,15.3296,15.1053,15.4045,14.4662,15.4260,336.0000,0.0000,0.0000,
20,256,9.7113,21.5819,8.8431,8.7683,0.0000,13.0739,15.1805,15.1261,15.1871,9.6263,9.7124,13.8916,15.2164,15.1396,15.2649,16.3172,16.5208,0.0000,0.0000,14.8316,15.1752,15.0130,15.2363,13.8580,15.2551,320.0000,0.0000,0.0000,
51,256,9.5808,19.7714,8.2931,9.5050,0.0000,12.4566,16.0769,15.3078,16.0889,10.2849,10.3622,13.4937,15.3004,15.6812,15.2666,15.7392,16.0666,0.0000,0.0000,15.3959,15.1470,15.5204,15.0858,14.2275,15.2213,322.0000,0.0000,0.0000,
56,256,4.6162,20.9435,7.8772,8.7277,0.0000,13.0549,15.3394,15.3413,15.4041,9.7631,9.8510,13.9122,15.4374,15.5162,15.4868,15.9106,16.2388,0.0000,0.0000,14.7673,15.3769,14.8538,15.3887,14.3921,15.3944,325.0000,0.0000,0.0000,
42,256,8.7408,20.7931,7.6391,8.7578,0.0000,13.5242,15.4649,15.4398,15.4561,9.8629,9.7799,14.3439,15.5605,15.5913,15.5936,16.4971,16.7817,0.0000,0.0000,15.2792,15.4563,15.0277,15.4593,14.4955,15.5222,327.0000,0.0000,0.0000,
47,256,8.5342,21.6392,8.4703,8.8150,0.0000,13.5409,15.3480,15.2990,15.3684,10.2680,10.3670,14.0481,15.4269,15.5462,15.4530,15.9127,16.4176,0.0000,0.0000,15.1037,15.3119,15.1065,15.3576,14.1403,15.3654,333.0000,0.0000,0.0000,
45,256,9.7574,19.9024,7.9968,8.8809,0.0000,12.9802,15.5253,15.4873,15.5486,10.2408,10.3234,13.8780,15.5480,14.7277,15.6517,16.7097,17.0541,0.0000,0.0000,15.4441,15.5347,14.9216,15.5905,14.7506,15.5999,341.0000,0.0000,0.0000,
5,256,1.0029,31.1990,9.3988,8.8993,0.0000,14.8475,17.3243,17.2970,17.3671,11.1927,11.3049,15.2134,17.3906,17.5824,17.5713,16.0390,17.5940,0.0000,0.0000,17.1122,17.3620,16.5826,17.4179,15.4477,17.4111,409.0000,0.0000,0.0000,
36,256,10.1558,27.5356,8.8374,8.8247,0.0000,14.5492,17.5497,17.6021,17.5780,12.4681,12.4665,15.5188,17.5245,17.8278,17.7180,17.0781,17.9183,0.0000,0.0000,17.1444,17.5567,16.7073,17.6610,15.8338,17.6477,422.0000,0.0000,0.0000,
52,256,10.9834,27.3069,8.4919,8.8558,0.0000,14.8391,17.4037,17.3699,17.4040,11.8448,11.9536,15.7489,17.4645,17.6763,17.5786,17.0685,17.7371,0.0000,0.0000,16.9408,17.4012,16.8813,17.5121,15.8472,17.4865,401.0000,0.0000,0.0000,
26,256,9.9833,28.7723,8.8128,8.8037,0.0000,15.0414,17.5750,17.5675,17.6372,11.7078,11.8159,15.5181,17.6471,17.8253,17.7156,17.6202,18.3828,0.0000,0.0000,17.4066,17.5707,17.0007,17.6575,16.8117,17.6426,411.0000,0.0000,0.0000,
27,256,11.3443,27.1501,10.0839,8.9967,0.0000,15.0878,17.5726,17.5925,17.6915,12.4084,12.3360,15.3383,17.6892,17.7885,17.7357,16.8601,17.8812,0.0000,0.0000,17.1241,17.6396,16.8298,17.7178,16.1542,17.7316,413.0000,0.0000,0.0000,
3,256,10.3890,30.1342,9.5557,8.9673,0.0000,14.7543,17.7066,17.6724,17.7511,11.8522,12.1424,15.6889,17.7711,17.8869,17.9159,16.8156,18.0602,0.0000,0.0000,17.0404,17.6791,16.8086,17.8118,15.9188,17.8074,411.0000,0.0000,0.0000,
13,256,11.6171,33.5532,8.5562,8.8740,0.0000,15.4981,17.8946,17.9137,17.9493,12.5012,12.5881,15.9164,17.9880,18.1626,18.1495,17.6975,18.2255,0.0000,0.0000,16.6906,17.9528,17.2910,17.9842,17.3456,18.0250,425.0000,0.0000,0.0000,
29,256,12.0097,29.0664,10.1680,9.1210,0.0000,16.7341,19.0834,19.0680,19.1151,12.7765,12.9567,16.5452,19.1546,19.3155,19.4168,17.8522,19.3677,0.0000,0.0000,18.5458,19.1074,18.0006,19.2154,17.9937,19.2674,483.0000,0.0000,0.0000,
10,256,9.0999,35.5725,9.8125,9.0639,0.0000,16.4473,18.9734,18.9932,18.9842,13.0357,13.0967,16.9438,19.0164,19.7270,19.2340,17.9532,19.2110,0.0000,0.0000,18.9458,18.9538,18.0873,19.6166,17.7870,19.0865,457.0000,0.0000,0.0000,
46,256,11.9895,30.4755,10.4288,9.1404,0.0000,17.6050,18.9457,18.9274,18.9105,12.8889,12.9164,18.2838,18.9816,19.2036,19.1847,18.4893,19.2689,0.0000,0.0000,17.5071,18.9409,18.1831,19.0605,17.9181,19.0797,481.0000,0.0000,0.0000,
18,256,3.6421,35.9755,10.4832,9.0833,0.0000,16.2274,19.7281,19.6595,19.7880,12.4560,12.4741,17.2025,19.8999,20.0669,19.9520,19.5128,20.0337,0.0000,0.0000,19.4727,19.7661,18.3954,19.8944,17.0979,19.8835,488.0000,0.0000,0.0000,
38,256,12.5309,32.1005,9.8278,9.1162,0.0000,17.1861,19.0632,19.1043,19.1135,13.5125,13.6144,17.3034,19.1592,19.4888,19.4138,17.6718,19.3711,0.0000,0.0000,18.3681,19.1314,17.9173,19.2265,17.8452,19.2906,478.0000,0.0000,0.0000,
17,256,12.4681,32.6466,9.9533,8.9519,0.0000,17.4985,19.1895,19.1685,19.2155,12.7521,13.0908,18.0105,19.2364,19.5117,19.4796,18.6864,19.4760,0.0000,0.0000,18.9155,19.1576,17.9150,19.2865,17.9870,19.3400,476.0000,0.0000,0.0000,
12,256,11.2614,34.4147,9.5992,8.9636,0.0000,17.7015,19.3634,19.3390,19.3383,13.0115,12.9765,17.8158,19.4132,19.6171,19.6409,18.9288,19.5625,0.0000,0.0000,18.6357,19.3564,18.7696,19.4202,18.4173,19.5103,482.0000,0.0000,0.0000,
16,256,10.4466,36.8647,10.2894,9.0796,0.0000,16.3880,19.4354,19.4411,19.3063,13.8623,14.1321,16.5043,19.5272,19.7910,19.6368,18.6036,19.7950,0.0000,0.0000,19.2001,19.3607,18.6380,19.5219,17.1845,19.6361,474.0000,0.0000,0.0000,
14,256,12.6364,40.8926,9.7197,9.0106,0.0000,16.2924,19.1970,19.1958,19.1436,12.6943,12.7237,17.0281,19.2938,19.5479,19.4689,18.0519,19.4328,0.0000,0.0000,18.7354,19.2053,18.2504,19.3345,17.4228,19.3743,475.0000,0.0000,0.0000,
28,256,14.3189,35.4397,10.2605,9.0922,0.0000,16.8827,19.7333,19.6734,19.7175,13.5838,13.6447,18.0224,19.7394,19.9930,19.9984,18.7211,20.0080,0.0000,0.0000,19.2240,19.7007,18.2694,19.6717,17.8674,19.8829,504.0000,0.0000,0.0000,
50,256,9.6628,39.4420,10.5065,9.0647,0.0000,16.7069,19.8116,19.7643,19.7777,13.5612,13.3592,17.2677,19.8211,20.1022,20.0393,19.0932,19.9676,0.0000,0.0000,18.9723,19.8001,18.8911,19.8760,18.3895,19.8812,475.0000,0.0000,0.0000,
21,256,13.7367,38.7998,10.0426,9.0306,0.0000,17.2647,20.1349,20.0700,20.1742,13.3394,13.7304,17.9661,20.1660,20.5443,20.4366,18.9071,20.3795,0.0000,0.0000,18.8701,20.1524,18.7680,20.2006,18.0925,20.3294,524.0000,0.0000,0.0000,
11,256,14.8761,39.5804,10.6833,9.0502,0.0000,18.2121,19.8022,19.7561,19.8520,12.8621,12.9312,18.8099,19.8695,20.1468,20.1000,19.0241,20.0529,0.0000,0.0000,19.5688,19.7243,19.4444,19.9346,18.6008,19.9556,495.0000,0.0000,0.0000,
