,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
33,64,0.0584,1.8143,0.4474,0.1890,0.0000,0.9861,1.2308,1.3071,1.3112,13.2800,8.0704,1.0606,1.2303,1.2006,1.2220,1.0630,1.2224,0.0000,0.0000,1.1134,1.1543,1.0062,1.1980,1.1187,2.0936,123.0000,0.0000,0.0000,
45,64,0.1335,1.3720,0.4898,0.1823,0.0000,1.2037,1.2078,1.3132,1.3123,4.5163,5.8400,1.0076,1.0708,0.9976,1.0358,0.9802,1.0508,0.0000,0.0000,0.9477,1.0052,1.0525,1.2629,1.0691,1.1215,102.0000,0.0000,0.0000,
35,64,0.0670,2.2047,0.4749,0.1963,0.0000,1.1972,1.4277,1.3821,1.4276,13.1414,7.8087,1.2095,1.3370,1.3922,1.3892,1.0725,1.3042,0.0000,0.0000,1.0774,1.2523,1.2680,1.5289,1.1867,1.3422,160.0000,0.0000,0.0000,
39,64,0.0735,2.1827,0.5208,0.2043,0.0000,1.2262,1.4484,1.4748,1.4797,12.8660,7.9389,1.2490,1.3957,1.4630,1.4025,1.1322,1.3838,0.0000,0.0000,1.2092,1.3375,1.9582,2.2139,1.2205,1.4239,166.0000,0.0000,0.0000,
32,64,0.0540,0.9381,0.3523,0.1788,0.0000,0.7091,0.9866,1.0469,1.0682,17.5520,10.6544,0.9881,0.9451,0.8396,0.8750,0.9836,1.0155,0.0000,0.0000,0.8197,0.8515,2.0810,3.0074,0.8792,0.9054,82.0000,0.0000,0.0000,
44,64,0.0577,1.9491,0.4650,0.1992,0.0000,1.0643,1.3051,1.3446,7.2451,9.8015,6.7733,1.0303,1.2370,1.2511,1.2228,1.0642,1.2083,0.0000,0.0000,0.9321,1.1708,2.1865,2.5940,1.1024,1.2401,123.0000,0.0000,0.0000,
38,64,0.0669,0.8564,0.3599,0.1829,0.0000,0.7634,1.0115,0.9218,1.1098,17.8985,10.4773,0.8374,0.8674,0.8653,0.8506,0.9482,1.0740,0.0000,0.0000,0.8159,0.8432,2.5244,3.1166,0.7553,0.8990,82.0000,0.0000,0.0000,
10,64,0.0979,2.2628,0.4784,0.2007,0.0000,1.2603,1.4274,1.4230,1.4693,14.7864,8.5314,1.3170,1.3568,1.4503,1.4162,1.2495,1.3591,0.0000,0.0000,1.2500,1.3105,2.4859,2.7269,1.2436,1.3861,158.0000,0.0000,0.0000,
11,64,0.0675,1.0934,0.3493,0.1947,0.0000,0.8610,0.9901,1.0708,1.0909,16.3409,12.3733,1.1394,1.1793,1.0132,1.0308,1.0039,1.0687,0.0000,0.0000,0.9109,0.9891,2.6700,3.1857,0.9439,1.0792,101.0000,0.0000,0.0000,
24,64,0.0731,1.1713,0.3725,0.1834,0.0000,0.7685,1.1110,1.0719,1.1527,17.4489,10.8099,0.9839,1.0432,0.9937,0.9765,0.9802,1.0178,0.0000,0.0000,0.8503,0.9692,2.6491,3.0974,0.8931,1.0317,97.0000,0.0000,0.0000,
41,64,0.0660,3.4663,0.5181,0.1936,0.0000,1.2524,1.5032,1.5198,1.5089,12.5434,7.4116,1.2348,1.4396,1.5015,1.4412,1.2542,1.4090,0.0000,0.0000,1.1559,1.3846,2.5726,2.5168,1.2816,1.4570,157.0000,0.0000,0.0000,
28,64,0.0556,1.4670,0.4058,0.1846,0.0000,0.9440,1.1752,1.2004,1.3431,17.1346,10.3303,1.0478,1.1120,1.1416,1.1198,0.8797,1.1392,0.0000,0.0000,0.9356,1.1371,3.9684,2.8731,0.9734,1.1484,117.0000,0.0000,0.0000,
27,64,0.0613,1.3613,0.4299,0.1895,0.0000,0.9168,1.2455,1.1762,1.3007,17.6398,10.4133,1.0260,1.0952,1.1175,1.1065,1.0362,1.1520,0.0000,0.0000,0.9876,1.1017,3.9912,3.0622,0.9356,1.1239,112.0000,0.0000,0.0000,
23,64,0.0776,1.2981,0.3890,0.1897,0.0000,0.8850,1.0613,1.2067,1.2655,18.5181,10.3462,0.9535,1.0357,1.0254,1.0574,1.0443,1.0883,0.0000,0.0000,0.8861,1.0427,4.1365,3.0943,0.9688,1.1101,105.0000,0.0000,0.0000,
