,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
19,2048,102.8348,2315.1560,936.3442,9894.4105,0.0000,1926.7351,2048.1772,2132.6530,1977.6254,1339.9250,1328.3126,1925.8649,2018.9915,1722.8242,1688.4951,1945.7062,1977.9878,0.0000,0.0000,1942.7723,1998.4453,1688.4522,1715.1359,1946.8721,1977.8767,2646.0000,0.0000,0.0000,
11,2048,99.1911,2444.3006,1025.0838,9392.8116,0.0000,2100.8910,2130.2126,2528.7340,2095.0303,1370.7722,1378.7815,1979.0672,2053.6940,1722.3738,2026.8152,2012.1606,2120.0144,0.0000,0.0000,2009.4042,1927.6784,1693.1231,1748.8830,1848.5868,1918.7171,2649.0000,0.0000,0.0000,
23,2048,103.0367,2578.0536,947.2759,9200.9332,0.0000,2301.5878,2308.0136,2322.4657,2178.3807,1465.2209,1471.3698,2086.9554,2189.1540,1743.1498,1799.0361,2116.2220,2048.3560,0.0000,0.0000,1988.2436,1988.4186,1991.2212,1815.4044,1979.7592,2054.0519,2654.0000,0.0000,0.0000,
14,2048,100.6786,3168.0890,1101.6106,9408.4383,0.0000,2042.0631,2170.2187,2214.8736,2106.4508,1462.6623,1476.4766,2148.4024,2122.1781,1880.9349,1896.9121,2030.6824,2070.4665,0.0000,0.0000,2036.1918,2035.0116,1875.1962,1806.5034,1942.2808,2454.4024,3241.0000,0.0000,0.0000,
37,2048,43.3094,2919.8786,967.8904,13908.1973,0.0000,1744.6381,1886.4050,1919.4364,1906.8901,1287.7374,1277.1882,1818.7560,1941.4489,1709.9789,1677.8944,1853.8528,1927.9608,0.0000,0.0000,1855.1395,1886.8354,1712.0968,1667.7704,1869.3133,1901.0424,2638.0000,0.0000,0.0000,
53,2048,49.5153,2136.1834,924.6134,9441.2306,0.0000,2784.5597,2950.0796,2392.2422,2132.1221,1399.5461,1400.0741,2071.7475,2494.9594,2510.8939,1779.0734,2033.6015,2123.8342,0.0000,0.0000,2058.0946,2105.2581,1735.6426,1727.0765,1970.8482,2030.7931,2639.0000,0.0000,0.0000,
30,2048,100.2934,2376.3693,1051.6097,13350.1778,0.0000,2032.5106,2111.3634,2020.4538,2002.0559,1365.3426,1352.9602,1918.5282,2045.2042,1706.1660,1724.9738,1947.4993,2045.2578,0.0000,0.0000,2006.7721,2016.8079,1708.1465,1722.5193,1938.7651,2041.4807,2635.0000,0.0000,0.0000,
1,2048,102.5107,3022.7905,1076.0381,10418.9483,0.0000,2190.9813,2397.0083,2246.3099,2244.8210,1581.5334,1611.5504,2116.0082,2199.7420,1960.7360,1893.2101,1994.0709,2061.2914,0.0000,0.0000,1986.0589,2060.8070,1797.1283,1811.3126,1977.2536,2033.4354,3272.0000,0.0000,0.0000,
39,2048,44.6092,2558.4004,955.4448,14824.3820,0.0000,1875.6394,1934.0826,1950.2803,1984.4154,1296.3942,1300.9045,1893.0440,2004.4870,1717.8844,1697.9181,1929.7127,1963.0408,0.0000,0.0000,1907.3485,2200.7235,1814.5401,1828.5161,1870.5021,1972.4508,2646.0000,0.0000,0.0000,
24,2048,102.1448,3068.3124,1064.7768,10243.4949,0.0000,2131.0174,2377.4397,2271.8046,2247.6784,1543.7855,1576.2355,2155.6026,2248.6691,2103.1579,1937.4891,2113.2175,2203.1839,0.0000,0.0000,2135.9064,2648.3708,1880.8728,2036.5832,2248.2396,2343.5654,3251.0000,0.0000,0.0000,
5,2048,100.9350,3306.6581,1048.7880,10226.9039,0.0000,2266.5519,2489.1647,2354.6971,2308.1694,1614.8129,1648.6664,2250.7756,2363.3168,2045.3813,1955.7132,2135.3836,2174.2486,0.0000,0.0000,2118.4261,2213.0900,1875.8374,1919.1137,2094.9922,2275.6898,3248.0000,0.0000,0.0000,
9,2048,92.5728,2549.7540,983.4597,11263.9176,0.0000,3138.8630,2651.8292,2306.4699,2272.0964,1560.0229,1543.1187,2208.3200,2325.5685,1874.7401,1814.1619,2105.4734,2147.9120,0.0000,0.0000,2139.7137,2142.5963,1791.0529,1834.1096,2154.6193,2245.8379,2661.0000,0.0000,0.0000,
26,2048,100.8062,3667.3678,1122.3589,10091.9418,0.0000,2210.2699,2426.8015,2299.2966,2268.2293,1660.3589,1680.2507,2185.4038,2312.3166,2074.3004,2012.4205,2157.8050,2185.2762,0.0000,0.0000,2130.8954,2249.3262,1935.4446,2107.5821,2112.2764,2231.5561,3923.0000,0.0000,0.0000,
36,2048,46.6759,2241.4218,931.0728,15535.0823,0.0000,2100.6506,2171.9203,1965.1708,1997.5859,1343.5145,1355.9012,1912.6520,2264.6318,1798.9239,1784.4476,2009.1295,2074.6271,0.0000,0.0000,2146.1633,1994.5864,1713.7912,1750.3079,1955.7384,2069.7934,2643.0000,0.0000,0.0000,
35,2048,41.8613,2304.6168,1313.7912,14640.0300,0.0000,1940.9601,2092.4953,2054.1630,2089.3075,1394.8509,1405.2729,1958.7386,2114.1267,1789.6506,1767.0895,2027.3647,2069.6681,0.0000,0.0000,2121.7819,2083.1575,1791.0658,2013.1013,2081.7342,2225.6162,2624.0000,0.0000,0.0000,
46,2048,38.7858,2506.9480,989.9507,13742.6033,0.0000,2321.9088,2207.8905,2131.8878,2166.6527,1433.5479,1422.2348,2437.6715,2207.3507,1820.6669,1811.8698,2080.0806,2137.1305,0.0000,0.0000,2199.2336,2093.8811,1781.7700,1842.8826,2135.6681,2205.3865,2638.0000,0.0000,0.0000,
8,2048,97.5390,3759.9983,1130.0170,9993.0448,0.0000,2243.4896,2449.5769,2338.4512,2284.8650,1610.5815,1653.9212,2205.0730,2336.0964,2086.0783,2050.9094,2259.2116,2302.2459,0.0000,0.0000,2290.9470,2284.6007,1984.0636,2042.0510,2253.3580,2347.5456,3815.0000,0.0000,0.0000,
4,2048,102.4857,3446.8836,1092.0700,9321.0019,0.0000,2417.1827,2614.9283,2487.9979,2477.1265,1743.6122,1780.6218,2369.8647,2483.4717,2124.5923,2033.9269,2268.7438,2326.3979,0.0000,0.0000,2316.6688,2319.5186,1994.3083,2011.4178,2304.7763,2381.7357,3360.0000,0.0000,0.0000,
16,2048,101.5262,3965.5435,1111.1921,10090.0054,0.0000,2323.8238,2683.9017,2288.8236,2270.8571,1683.4150,1652.6330,2176.3158,2305.0056,2080.0026,2060.2879,2244.6511,2275.4042,0.0000,0.0000,2245.0838,2296.8986,1985.3393,2010.0642,2286.7668,2339.2584,3985.0000,0.0000,0.0000,
40,2048,41.9355,4322.6784,1096.1588,10155.7586,0.0000,2408.9097,2535.4643,2463.9126,2321.7954,1717.7773,1718.8823,2381.5332,2655.2014,2119.7213,2034.5013,2170.3179,2229.4288,0.0000,0.0000,2179.9029,2225.9791,1950.3995,1984.1971,2189.1003,2321.8443,3881.0000,0.0000,0.0000,
15,2048,115.7575,4062.8394,1140.2359,10207.8047,0.0000,2319.8265,2525.1179,2432.1749,2409.4263,1875.4201,1767.0544,2357.4739,2491.7307,2171.0997,2128.3478,2276.2269,2329.4994,0.0000,0.0000,2354.1443,2278.4661,2171.2413,2052.5012,2289.8481,2424.9539,3974.0000,0.0000,0.0000,
7,2048,99.4693,4180.1900,1120.3147,10048.8856,0.0000,2272.5209,2475.9332,2354.6201,2342.0055,1719.6894,1709.3217,2243.2791,2384.2990,2122.9849,2093.6057,2314.3752,2379.5480,0.0000,0.0000,2413.8208,2465.3864,2332.0567,2134.9082,2496.6701,2542.2058,3906.0000,0.0000,0.0000,
32,2048,59.9197,4322.2793,1130.4626,10225.4741,0.0000,2368.6641,2407.6273,2326.4561,2312.1245,1669.5268,1641.0160,2243.0480,2356.8370,2112.5803,2011.9260,2181.3323,2266.5538,0.0000,0.0000,2567.6949,2586.2599,2038.1242,2179.1840,2680.8288,2708.4631,3878.0000,0.0000,0.0000,
25,2048,106.7332,4608.5291,1147.8250,10075.0386,0.0000,2462.7342,2643.4605,2437.2668,2424.9892,1773.3913,1747.3784,2480.1257,2432.5434,2114.6304,2240.5159,2236.2250,2369.6877,0.0000,0.0000,2248.0227,2313.5406,1997.2726,2090.6726,2229.7619,2444.3893,3959.0000,0.0000,0.0000,
28,2048,102.4102,3970.4161,1126.2979,10071.5339,0.0000,2531.2954,2606.9726,2414.3978,2417.5788,1757.7831,1742.0198,2310.8428,2459.7910,2189.4360,2174.9227,2348.6431,2424.7858,0.0000,0.0000,2401.4677,2406.8133,2104.9371,2172.9625,2337.2455,2581.6292,3969.0000,0.0000,0.0000,
41,2048,43.2186,3317.9020,1124.7057,15600.5228,0.0000,2180.4967,2279.4840,2341.5045,2324.3993,1611.7280,1646.0468,2256.1794,2164.4673,1898.3439,1851.8111,2032.9378,2313.3946,0.0000,0.0000,2057.7090,2113.2912,1853.9730,1908.9514,2105.3048,2492.3542,3217.0000,0.0000,0.0000,
13,2048,98.8113,4768.5012,1159.4542,10430.8437,0.0000,2405.8130,2481.1511,2445.3244,2470.1891,1784.1011,1792.1700,2379.2558,2460.5927,2229.1351,2222.8940,2357.9110,2420.9032,0.0000,0.0000,2324.4662,2425.2355,2148.0190,2230.3956,2493.5804,2518.9316,4624.0000,0.0000,0.0000,
44,2048,41.2100,3240.7264,1099.5716,14980.9959,0.0000,1925.8241,2130.2112,2147.6477,2368.0456,1554.4983,1557.2778,2094.0851,2207.5718,1982.3605,1920.8864,2088.3064,2406.3569,0.0000,0.0000,2336.5899,2853.2813,2039.2034,2179.9350,2395.7188,2527.7147,3341.0000,0.0000,0.0000,
17,2048,102.7428,4864.7023,1193.6769,10515.0329,0.0000,2482.4249,2448.9202,2462.3877,2490.8254,1834.3137,1829.8060,2413.4438,2466.7518,2254.3187,2410.3333,2358.1669,2422.0131,0.0000,0.0000,2342.9380,2396.2644,2124.0001,2216.1921,2441.2820,2501.5866,4738.0000,0.0000,0.0000,
48,2048,52.0617,3266.7422,1053.9680,14902.2633,0.0000,2755.1846,2337.1200,2410.4127,2391.0258,1665.8760,1695.3466,2273.5528,2276.6526,1987.9614,1954.0697,2235.8799,2228.4118,0.0000,0.0000,2185.3978,2267.5577,1976.0906,1974.1514,2266.0317,2398.7233,3347.0000,0.0000,0.0000,
29,2048,71.4591,5413.7171,1174.6077,10177.2784,0.0000,2881.1266,2565.5435,2495.2199,2530.8930,1807.7053,1810.1454,2491.4104,2459.3634,2426.8004,2167.8887,2267.6194,2369.8504,0.0000,0.0000,2285.6464,2526.6562,2123.5133,2125.0945,2365.2483,2424.5254,4597.0000,0.0000,0.0000,
12,2048,102.5103,4455.3194,1115.7951,9531.4189,0.0000,3142.6320,2722.7594,3107.6452,2497.9302,1811.0072,1820.4780,2344.9193,2493.3695,2800.1440,2166.5550,2443.4765,2523.2634,0.0000,0.0000,2417.5907,2504.8173,2187.0599,2140.3926,2453.8208,2693.2280,3863.0000,0.0000,0.0000,
55,2048,49.2497,4272.1549,1131.8584,9578.3084,0.0000,3816.4560,3262.0983,2476.2775,2510.4898,1806.3772,1802.9230,2404.5303,2510.9732,2233.1016,2171.1542,2418.5860,2521.9479,0.0000,0.0000,2393.5054,2534.5407,2180.0775,2161.3739,2627.4872,2889.7847,3902.0000,0.0000,0.0000,
52,2048,51.3099,4210.7652,1178.6157,13846.8610,0.0000,2216.3517,2403.6541,2450.9412,2427.2720,1768.3503,1799.4074,2321.5652,2368.8177,2166.5970,2104.9008,2320.6871,2319.4234,0.0000,0.0000,2285.1167,2315.9723,2098.8086,2162.0113,2393.1733,2561.5822,4041.0000,0.0000,0.0000,
