,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
36,512,1.4394,100.1793,38.4710,69.7619,0.0000,56.1074,68.4940,68.6738,68.8118,44.5712,45.4918,64.4026,70.7980,68.9112,71.5331,71.5062,73.3365,0.0000,0.0000,69.5366,72.6408,71.4409,71.4877,68.8394,70.8083,647.0000,0.0000,0.0000,
39,512,1.2262,100.3617,38.9604,69.6907,0.0000,56.9137,71.4685,69.8717,69.6043,45.8303,46.2309,63.5812,70.6612,69.2597,72.6591,69.8769,71.6572,0.0000,0.0000,69.1554,72.0929,69.0423,70.3937,65.3399,74.4527,656.0000,0.0000,0.0000,
10,512,1.5875,101.6469,37.8840,69.5752,0.0000,63.4493,69.1067,69.3687,69.0764,43.9166,44.2153,66.1855,71.9979,69.6636,70.1623,70.8010,72.7832,0.0000,0.0000,70.1158,70.1472,69.7218,72.3375,69.0725,72.3414,660.0000,0.0000,0.0000,
28,512,1.6242,99.7849,37.0912,69.5267,0.0000,59.2622,68.4119,69.6286,69.0740,46.6995,47.4178,63.0231,70.7257,70.8422,73.0096,68.6057,73.8566,0.0000,0.0000,71.4929,71.0904,73.2809,69.6658,66.8954,71.8839,646.0000,0.0000,0.0000,
18,512,1.5586,97.0286,40.3035,69.8499,0.0000,56.7486,69.6734,70.0223,69.5904,46.5497,46.7384,63.2814,73.9594,69.9755,71.4611,72.6735,73.7197,0.0000,0.0000,69.7688,69.9531,69.9738,73.0542,68.1879,74.8383,652.0000,0.0000,0.0000,
7,512,1.8020,94.2365,43.2270,69.9499,0.0000,56.8741,70.0930,69.4231,69.7104,45.0505,45.3617,63.7591,73.6092,70.5513,72.1426,71.6936,73.6167,0.0000,0.0000,72.7851,73.0055,72.6938,75.2873,66.4864,72.8467,666.0000,0.0000,0.0000,
4,512,2.0943,110.2189,41.1867,69.6361,0.0000,55.9029,69.4754,69.5264,69.6828,45.6557,45.5901,66.4913,72.9988,70.4370,71.2578,68.9171,71.5928,0.0000,0.0000,68.6910,70.7175,72.5321,71.7679,69.1897,73.8653,660.0000,0.0000,0.0000,
5,512,1.9851,105.6885,41.0430,69.7837,0.0000,58.5467,69.6531,70.3677,70.0101,47.5275,47.8303,64.6384,72.0741,70.8767,73.1421,71.1572,74.6031,0.0000,0.0000,71.4885,71.2346,71.8693,72.1475,68.1962,74.1535,675.0000,0.0000,0.0000,
32,512,1.1636,111.3807,38.8719,70.0432,0.0000,60.1207,69.4570,69.4039,69.6234,47.1175,47.4024,65.5333,72.2199,70.2800,71.5049,74.4052,74.7850,0.0000,0.0000,71.2431,73.4840,71.1403,73.9383,68.9779,73.0666,672.0000,0.0000,0.0000,
2,512,2.3248,103.7069,40.4569,69.8151,0.0000,58.1705,70.1704,71.3003,70.5883,47.5225,47.7318,63.7766,73.8874,72.3276,73.3706,76.8149,80.3032,0.0000,0.0000,74.0673,76.4943,73.6047,73.2521,69.8629,77.5348,673.0000,0.0000,0.0000,
50,512,1.1825,128.8641,40.9118,69.4954,0.0000,56.8819,70.0505,68.9808,69.2439,48.1075,48.6245,65.4085,72.9786,70.8008,69.7831,70.7969,71.7569,0.0000,0.0000,69.3052,72.6317,69.3642,73.9853,67.0112,74.4423,655.0000,0.0000,0.0000,
9,512,2.1631,128.5474,44.0392,70.2993,0.0000,67.6482,78.9610,78.2773,78.5522,55.8065,57.4847,74.0215,81.5669,83.5741,83.7581,79.3124,82.3372,0.0000,0.0000,82.0486,82.7368,80.2790,82.0680,73.1778,81.7144,823.0000,0.0000,0.0000,
15,512,2.1368,131.9389,44.4019,70.5603,0.0000,74.6959,78.6895,78.0771,78.5682,54.8998,55.6658,75.8320,81.2302,81.7230,80.0653,80.1480,82.9848,0.0000,0.0000,79.5706,81.7539,78.0049,81.1681,74.6271,83.3693,805.0000,0.0000,0.0000,
