,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
26,1024,12.0590,460.9990,209.9637,877.2833,0.0000,343.2602,355.3000,366.9621,369.6480,251.4063,252.6480,438.2458,379.1902,338.6396,335.1083,365.2672,376.6197,0.0000,0.0000,358.0400,461.0729,353.3780,351.4977,381.1688,401.8487,1330.0000,0.0000,0.0000,
4,1024,12.7790,420.9647,210.0719,960.7119,0.0000,328.9040,358.6164,374.2436,375.6119,260.2151,333.4244,371.9475,399.7652,348.4859,343.8458,384.2676,400.9449,0.0000,0.0000,369.7072,472.9740,365.9907,333.7970,342.8260,368.7320,1315.0000,0.0000,0.0000,
17,1024,14.1164,427.0364,204.9343,860.6412,0.0000,388.8621,391.6709,416.2804,415.5259,282.4080,342.3709,352.7572,383.4899,329.9214,335.9098,366.8202,385.0482,0.0000,0.0000,358.2459,454.7843,340.7304,339.5827,361.9119,389.7483,1298.0000,0.0000,0.0000,
14,1024,9.0429,440.7749,201.3498,881.3750,0.0000,352.9199,355.5668,368.5179,371.2261,257.9264,257.4411,464.7420,426.6794,358.2117,357.5891,420.1088,437.8204,0.0000,0.0000,388.7230,445.7878,342.6923,331.5709,349.4225,367.7178,1307.0000,0.0000,0.0000,
45,1024,10.3298,530.6566,214.3749,956.7852,0.0000,314.3041,359.2640,371.8162,376.0042,253.3880,328.5215,354.1009,381.6798,338.5094,334.7950,363.9800,378.1944,0.0000,0.0000,358.3120,564.5964,334.8140,329.8671,355.5555,373.0743,1319.0000,0.0000,0.0000,
9,1024,12.5782,414.7676,210.2594,956.6828,0.0000,352.9071,357.3575,368.5063,370.7579,257.5111,330.6378,377.1473,399.6813,347.9125,344.5895,388.8464,402.8887,0.0000,0.0000,370.2421,443.2271,331.6633,370.7643,412.6005,435.9153,1325.0000,0.0000,0.0000,
8,1024,13.8057,442.6910,208.8329,857.1796,0.0000,401.8189,397.9821,423.2707,423.8182,286.8474,348.4942,372.9490,406.6028,349.7132,347.6152,388.5160,405.5472,0.0000,0.0000,434.0435,394.0752,337.9463,337.9748,366.8956,380.4519,1304.0000,0.0000,0.0000,
25,1024,9.8116,441.6168,214.0946,1169.7082,0.0000,304.7508,361.8781,370.6858,372.9541,256.5743,324.9463,340.9904,370.0344,333.5627,331.0850,355.6353,368.7855,0.0000,0.0000,349.4110,472.2444,367.3208,365.6861,412.0451,433.5428,1319.0000,0.0000,0.0000,
24,1024,14.0998,411.2904,203.0294,1254.9364,0.0000,340.4802,415.9403,433.5328,432.6774,336.0609,261.4097,364.4052,385.4853,329.5979,335.0828,373.5014,388.7930,0.0000,0.0000,441.3569,370.4690,330.2724,335.3851,358.0129,371.0920,1296.0000,0.0000,0.0000,
37,1024,12.4526,468.1852,224.1742,1187.7880,0.0000,315.2452,380.9601,390.5597,390.0102,342.9277,279.9453,378.9141,414.0500,358.0144,352.3267,396.1904,410.5371,0.0000,0.0000,471.6904,394.1819,339.9204,345.2332,359.0911,374.7807,1326.0000,0.0000,0.0000,
